rank,chemical_id,chemical_name,ensemble_score,is_known_GBM_therapeutic,anti_neoplastic,n_targets
1225,D005703,Gallamine Triethiodide,-1.5011534690856934,False,False,16
1226,D005032,Ethylestrenol,-1.5015239715576172,False,False,3
1227,D013840,Thiamylal,-1.5025888681411743,False,False,24
1228,C014182,salicylsalicylic acid,-1.5044394731521606,False,False,2
1229,D065819,Voriconazole,-1.5049957036972046,False,False,18
1230,C000605992,MYK-461,-1.5070234537124634,False,False,18
1231,D003366,Cosyntropin,-1.5071897506713867,False,False,3
1232,D006879,Hydroxocobalamin,-1.50861656665802,False,False,6
1233,D002717,Chlormerodrin,-1.5098319053649902,False,False,2
1234,D016899,Interferon-beta,-1.5115280151367188,False,False,4
1235,D025442,Dihydroergocristine,-1.511839747428894,False,False,7
1236,C093450,ardeparin,-1.5146287679672241,False,False,1
1237,D003543,Cysteamine,-1.5147666931152344,False,False,8
1238,C581236,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",-1.5147795677185059,False,False,1
1239,D005050,Etretinate,-1.5157470703125,False,False,7
1240,D011800,Quinestrol,-1.519708275794983,False,False,5
1241,D000077786,Torsemide,-1.5216306447982788,False,False,14
1242,C005060,isopropyl palmitate,-1.5235223770141602,False,False,1
1243,D014640,Vancomycin,-1.5241159200668335,False,False,7
1244,D008620,Meprobamate,-1.5242470502853394,False,False,19
1245,C012810,cefamandole nafate,-1.5290940999984741,False,False,1
1246,C449219,norelgestromin,-1.5291553735733032,False,False,4
1247,D000077542,Eptifibatide,-1.529560923576355,False,False,9
1248,C000591844,HMPL-013,-1.5305747985839844,False,False,7
1249,D009609,Nitrous Oxide,-1.5325301885604858,False,False,6
1250,D007665,Ketotifen,-1.5343971252441406,False,False,13
1251,D009248,Nadolol,-1.5379449129104614,False,False,8
1252,C036619,idebenone,-1.537960410118103,False,False,5
1253,D000099194,Semaglutide,-1.5388665199279785,False,False,9
1254,C065166,imidapril,-1.5393773317337036,False,False,7
1255,C052035,trandolapril,-1.5422109365463257,False,False,7
1256,D011716,Pyrantel Pamoate,-1.5431445837020874,False,False,6
1257,D001621,Betahistine,-1.5434762239456177,False,False,3
1258,C539402,dexibuprofen,-1.5446796417236328,False,False,4
1259,C570223,glycerol phenylbutyrate,-1.5462230443954468,False,False,6
1260,D008152,Loxapine,-1.547053337097168,False,False,15
1261,D010117,Oxypurinol,-1.5483827590942383,False,False,14
1262,D002741,Chlorotrianisene,-1.548659324645996,False,False,7
1263,D017298,Bisoprolol,-1.55182945728302,False,False,15
1264,C029178,naftifine,-1.5525792837142944,False,False,3
1265,C004343,mebanazine,-1.553533911705017,False,False,2
1266,D000069349,Linezolid,-1.5541218519210815,False,False,9
1267,C010846,alverine,-1.5564273595809937,False,False,7
1268,C088673,octocrylene,-1.5613752603530884,False,False,12
1269,D004115,Dimethindene,-1.56238853931427,False,False,1
1270,D000068296,Risedronic Acid,-1.5642045736312866,False,False,12
1271,D002715,Chlormadinone Acetate,-1.5642098188400269,False,False,6
1272,D017409,Sufentanil,-1.5648802518844604,False,False,9
1273,C579663,setmelanotide,-1.566158413887024,False,False,7
1274,C529236,docosanol,-1.5673903226852417,False,False,8
1275,D005016,Ethoxzolamide,-1.567433476448059,False,False,14
1276,C000710173,olutasidenib,-1.5683536529541016,False,False,1
1277,D001032,Apazone,-1.5693941116333008,False,False,4
1278,C111420,4-hydroxybutyric acid,-1.5696932077407837,False,False,3
1279,D017328,Fosinopril,-1.5699695348739624,False,False,5
1280,C000628674,deucravacitinib,-1.570473551750183,False,False,3
1281,D004872,Ergocalciferols,-1.570820689201355,False,False,9
1282,D001544,Benperidol,-1.5727005004882812,False,False,6
1283,C531958,lenvatinib,-1.574032187461853,False,True,17
1284,C011597,amineptin,-1.574414610862732,False,False,3
1285,D000077550,Ivabradine,-1.5759352445602417,False,False,7
1286,D004061,Diflunisal,-1.5759977102279663,False,False,14
1287,D000077603,Nandrolone Decanoate,-1.5761208534240723,False,False,6
1288,D004087,Dihydroergotamine,-1.5782709121704102,False,False,15
1289,C037815,terconazole,-1.578360915184021,False,False,4
1290,D016597,Trimetrexate,-1.5804625749588013,False,True,10
1291,D001224,Aspartic Acid,-1.5808976888656616,False,False,9
1292,D001545,Benserazide,-1.5820237398147583,False,False,8
1293,D010131,Aminosalicylic Acid,-1.5828381776809692,False,False,11
1294,D000077486,Ticagrelor,-1.5828908681869507,False,False,10
1295,D014237,Trichlormethiazide,-1.5844560861587524,False,False,9
1296,C030397,isosorbide-5-mononitrate,-1.5851281881332397,False,False,10
1297,D000077432,Tapentadol,-1.5853724479675293,False,False,13
1298,D000961,Antilymphocyte Serum,-1.5865341424942017,False,False,11
1299,C557413,azilsartan medoxomil,-1.5873180627822876,False,False,2
1300,D019783,Technetium Tc 99m Dimercaptosuccinic Acid,-1.5877183675765991,False,False,1
1301,C092797,safinamide,-1.5889581441879272,False,False,15
1302,D004049,Diethylcarbamazine,-1.5890620946884155,False,False,6
1303,C555712,epoetin theta,-1.589177131652832,False,False,1
1304,D001712,Biperiden,-1.5907565355300903,False,False,16
1305,D000077430,Nabumetone,-1.5921845436096191,False,False,14
